,Description,Default Value,test_noobbbaexpire_base,test_noobbbaexpire_nobans_base,test_noobbbaexpire_nuclear_15_by_2050,test_noobbbaexpire_nobans_nuclear_15_by_2050,control_noobbbaexpire_base,control_noobbbaexpire_nobans_base,control_noobbbaexpire_nuclear_15_by_2050,control_noobbbaexpire_nobans_nuclear_15_by_2050,test_expgas_base,test_expgas_nobans_base,test_expgas_nuclear_15_by_2050,test_expgas_nobans_nuclear_15_by_2050,control_expgas_base,control_expgas_nobans_base,control_expgas_nuclear_15_by_2050,control_expgas_nobans_nuclear_15_by_2050,test_cheapgas_base,test_cheapgas_nobans_base,test_cheapgas_nuclear_15_by_2050,test_cheapgas_nobans_nuclear_15_by_2050,control_cheapgas_base,control_cheapgas_nobans_base,control_cheapgas_nuclear_15_by_2050,control_cheapgas_nobans_nuclear_15_by_2050,test_highdemand_base,test_highdemand_nobans_base,test_highdemand_nuclear_15_by_2050,test_highdemand_nobans_nuclear_15_by_2050,control_highdemand_base,control_highdemand_nobans_base,control_highdemand_nuclear_15_by_2050,control_highdemand_nobans_nuclear_15_by_2050,test_translimited_base,test_translimited_nobans_base,test_translimited_nuclear_15_by_2050,test_translimited_nobans_nuclear_15_by_2050,control_translimited_base,control_translimited_nobans_base,control_translimited_nuclear_15_by_2050,control_translimited_nobans_nuclear_15_by_2050,test_renuke,test_renuke_nobans,control_renuke,control_renuke_nobans
ignore,"0=run this case, 1=ignore this case",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timetype,Sequential or Intertemporal,seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plantchar_tes,,tes_ATB_2024_moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plantchar_nuclear_smr,,nuclear-smr_ATB_2024_moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_Nuclear,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_NuclearStor,,1,,,,,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,,0,0
GSw_NuclearStor_Types,,1_2_3_4_5_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_NuclearStor_StorageTechs,,tes-ms_tes-ms_tes-ms_tes-ms_tes-ms_tes-ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_NuclearStor_GenTechs,,nuclear-smr_nuclear-smr_nuclear-smr_nuclear-smr_nuclear-smr_nuclear-smr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_NuclearStor_BCR,,0.45_0.65_0.45_0.65_0.45_0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_NuclearStor_GridCharging,,0.0_0.0_0.5_0.5_1.0_1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_NuclearDemo,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_GenMandate,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_GenMandateList,,Nuke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENuclear,RENuclear,RENuclear,RENuclear
GSw_interpolate_mandates,,0,,,2035-0.1_2050-0.15,2035-0.1_2050-0.15,,,2035-0.1_2050-0.15,2035-0.1_2050-0.15,,,2035-0.1_2050-0.15,2035-0.1_2050-0.15,,,2035-0.1_2050-0.15,2035-0.1_2050-0.15,,,2035-0.1_2050-0.15,2035-0.1_2050-0.15,,,2035-0.1_2050-0.15,2035-0.1_2050-0.15,,,2035-0.1_2050-0.15,2035-0.1_2050-0.15,,,2035-0.1_2050-0.15,2035-0.1_2050-0.15,,,2035-0.1_2050-0.15,2035-0.1_2050-0.15,,,2035-0.1_2050-0.15,2035-0.1_2050-0.15,2026-0.2_2050-1.0,2026-0.2_2050-1.0,2026-0.2_2050-1.0,2026-0.2_2050-1.0
GSw_NukeStateBan,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
GSw_InterDayLinkage,Turn on (1) or off (0) the ability for interday storage techs (specified in tech-subset-table.csv) to shift energy between representative days (non-interday techs are unaffected),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_NewValCapShrink,switch to shrink valcap and related conditioning sets post-solve,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_PRM_StressIterateMax,Max number of times to iterate on a given solve year to achieve GSw_PRM_StressThreshold when using stress periods (0 means don't iterate; 1 means 1 extra ReEDS run; etc),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_EFS1_AllYearLoad,Switch to choose electricity profiles,EER_IRAlow,,,,,,,,,,,,,,,,,,,,,,,,,EER_100by2050,EER_100by2050,EER_100by2050,EER_100by2050,EER_100by2050,EER_100by2050,EER_100by2050,EER_100by2050,,,,,,,,,,,,
ngscen,Natural gas price inputs (see inputs\fuelprices),AEO_2025_reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plantchar_battery,,battery_ATB_2024_moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reg_cap_cost_diff_suffix,,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_RegionResolution,,aggreg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_HierarchyFile,,agg54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
incentives_suffix,,obbba,obbba_nuclear_noexpire,obbba_nuclear_noexpire,obbba_nuclear_noexpire,obbba_nuclear_noexpire,obbba_nuclear_noexpire,obbba_nuclear_noexpire,obbba_nuclear_noexpire,obbba_nuclear_noexpire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_TCPhaseout,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngscen,,AEO_2025_reference,,,,,,,,,ng_AEO_2023_LOG,ng_AEO_2023_LOG,ng_AEO_2023_LOG,ng_AEO_2023_LOG,ng_AEO_2023_LOG,ng_AEO_2023_LOG,ng_AEO_2023_LOG,ng_AEO_2023_LOG,ng_AEO_2023_HOG,ng_AEO_2023_HOG,ng_AEO_2023_HOG,ng_AEO_2023_HOG,ng_AEO_2023_HOG,ng_AEO_2023_HOG,ng_AEO_2023_HOG,ng_AEO_2023_HOG,,,,,,,,,,,,,,,,,,,,
GSw_TransInvMaxLongTerm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,,,,
